Latitude,ZipCode,City,Longitude,County,State,ZipCodeClass
40.9223,00501,HOLTSVILLE,-72.6371,SUFFOLK,NY,UNIQUE
40.9223,00544,HOLTSVILLE,-72.6371,SUFFOLK,NY,UNIQUE
18.1653,00601,ADJUNTAS,-66.7226,ADJUNTAS,PR,STANDARD
18.3931,00602,AGUADA,-67.1810,AGUADA,PR,STANDARD
18.4559,00603,AGUADILLA,-67.1458,AGUADILLA,PR,STANDARD
18.4935,00604,AGUADILLA,-67.1359,AGUADILLA,PR,STANDARD
18.4652,00605,AGUADILLA,-67.1415,AGUADILLA,PR,STANDARD
18.1729,00606,MARICAO,-66.9441,MARICAO,PR,STANDARD
18.2887,00610,ANASCO,-67.1397,ANASCO,PR,STANDARD
18.2795,00611,ANGELES,-66.8022,UTUADO,PR,PO BOX ONLY
18.4507,00612,ARECIBO,-66.6983,ARECIBO,PR,STANDARD
18.4581,00613,ARECIBO,-66.7327,ARECIBO,PR,STANDARD
18.4297,00614,ARECIBO,-66.6745,ARECIBO,PR,STANDARD
18.4448,00616,BAJADERO,-66.6407,ARECIBO,PR,STANDARD
18.4471,00617,BARCELONETA,-66.5443,BARCELONETA,PR,STANDARD
17.9985,00622,BOQUERON,-67.1873,CABO ROJO,PR,STANDARD
18.0622,00623,CABO ROJO,-67.1495,CABO ROJO,PR,STANDARD
18.0235,00624,PENUELAS,-66.7262,PENUELAS,PR,STANDARD
18.4779,00627,CAMUY,-66.8548,CAMUY,PR,STANDARD
18.2692,00631,CASTANER,-66.8650,LARES,PR,STANDARD
18.1133,00636,ROSARIO,-67.0397,SAN GERMAN,PR,STANDARD
18.0873,00637,SABANA GRANDE,-66.9349,SABANA GRANDE,PR,STANDARD
18.3362,00638,CIALES,-66.4721,CIALES,PR,STANDARD
18.2500,00641,UTUADO,-66.6990,UTUADO,PR,STANDARD
18.4361,00646,DORADO,-66.2820,DORADO,PR,STANDARD
17.9696,00647,ENSENADA,-66.9398,GUANICA,PR,STANDARD
18.3601,00650,FLORIDA,-66.5623,FLORIDA,PR,STANDARD
18.4573,00652,GARROCHALES,-66.6034,ARECIBO,PR,STANDARD
17.9725,00653,GUANICA,-66.8987,GUANICA,PR,STANDARD
18.0233,00656,GUAYANILLA,-66.7869,GUAYANILLA,PR,STANDARD
18.4814,00659,HATILLO,-66.8087,HATILLO,PR,STANDARD
18.1455,00660,HORMIGUEROS,-67.1353,HORMIGUEROS,PR,STANDARD
18.4803,00662,ISABELA,-67.0282,ISABELA,PR,STANDARD
18.2176,00664,JAYUYA,-66.5983,JAYUYA,PR,STANDARD
18.0151,00667,LAJAS,-67.0560,LAJAS,PR,STANDARD
18.2960,00669,LARES,-66.8819,LARES,PR,STANDARD
18.2521,00670,LAS MARIAS,-66.9910,LAS MARIAS,PR,STANDARD
18.4455,00674,MANATI,-66.4903,MANATI,PR,STANDARD
18.3837,00676,MOCA,-67.0808,MOCA,PR,STANDARD
18.3358,00677,RINCON,-67.2525,RINCON,PR,STANDARD
18.4530,00678,QUEBRADILLAS,-66.9337,QUEBRADILLAS,PR,STANDARD
18.2190,00680,MAYAGUEZ,-67.5081,MAYAGUEZ,PR,STANDARD
18.2190,00681,MAYAGUEZ,-67.5081,MAYAGUEZ,PR,STANDARD
18.2190,00682,MAYAGUEZ,-67.5081,MAYAGUEZ,PR,STANDARD
18.1133,00683,SAN GERMAN,-67.0397,SAN GERMAN,PR,STANDARD
18.3236,00685,SAN SEBASTIAN,-66.9722,SAN SEBASTIAN,PR,STANDARD
18.3170,00687,MOROVIS,-66.4152,MOROVIS,PR,STANDARD
18.4297,00688,SABANA HOYOS,-66.6745,ARECIBO,PR,STANDARD
18.4762,00690,SAN ANTONIO,-67.1396,AGUADILLA,PR,STANDARD
18.4358,00692,VEGA ALTA,-66.3385,VEGA ALTA,PR,STANDARD
18.4431,00693,VEGA BAJA,-66.3983,VEGA BAJA,PR,STANDARD
18.4431,00694,VEGA BAJA,-66.3983,VEGA BAJA,PR,STANDARD
18.0610,00698,YAUCO,-66.8612,YAUCO,PR,STANDARD
18.2504,00703,AGUAS BUENAS,-66.1285,AGUAS BUENAS,PR,STANDARD
17.9923,00704,AGUIRRE,-66.1393,GUAYAMA,PR,STANDARD
18.1281,00705,AIBONITO,-66.2687,AIBONITO,PR,STANDARD
18.0070,00707,MAUNABO,-65.8987,MAUNABO,PR,STANDARD
17.9675,00714,ARROYO,-66.0414,ARROYO,PR,STANDARD
18.0119,00715,MERCEDITA,-66.5637,PONCE,PR,STANDARD
18.0020,00716,PONCE,-66.6074,PONCE,PR,STANDARD
18.0020,00717,PONCE,-66.6074,PONCE,PR,STANDARD
18.2214,00718,NAGUABO,-65.7783,NAGUABO,PR,STANDARD
18.2980,00719,NARANJITO,-66.2298,NARANJITO,PR,STANDARD
18.2269,00720,OROCOVIS,-66.3940,OROCOVIS,PR,STANDARD
18.3642,00721,PALMER,-65.7783,RIO GRANDE,PR,STANDARD
18.0100,00723,PATILLAS,-66.0106,PATILLAS,PR,STANDARD
18.2130,00725,CAGUAS,-66.0580,CAGUAS,PR,STANDARD
18.2130,00726,CAGUAS,-66.0580,CAGUAS,PR,STANDARD
18.2130,00727,CAGUAS,-66.0580,CAGUAS,PR,STANDARD
18.0020,00728,PONCE,-66.6074,PONCE,PR,STANDARD
18.3331,00729,CANOVANAS,-65.8839,CANOVANAS,PR,STANDARD
18.0020,00730,PONCE,-66.6074,PONCE,PR,STANDARD
18.0383,00731,PONCE,-66.6263,PONCE,PR,STANDARD
18.0218,00732,PONCE,-66.6137,PONCE,PR,STANDARD
18.0193,00733,PONCE,-66.6192,PONCE,PR,STANDARD
17.9995,00734,PONCE,-66.6439,PONCE,PR,STANDARD
18.2649,00735,CEIBA,-65.5948,CEIBA,PR,STANDARD
18.1030,00736,CAYEY,-66.1393,CAYEY,PR,STANDARD
18.1030,00737,CAYEY,-66.1393,CAYEY,PR,STANDARD
18.3594,00738,FAJARDO,-65.6114,FAJARDO,PR,STANDARD
18.1815,00739,CIDRA,-66.1695,CIDRA,PR,STANDARD
18.3320,00740,PUERTO REAL,-65.6388,FAJARDO,PR,STANDARD
18.1622,00741,PUNTA SANTIAGO,-65.7535,HUMACAO,PR,STANDARD
18.2649,00742,ROOSEVELT ROADS,-65.5948,CEIBA,PR,STANDARD
